rank,prev_rank,name,league,off,def,spi
118,114,Nantes,French Ligue 1,1.5,0.95,58.72
119,118,Arminia Bielefeld,German Bundesliga,1.56,1.01,58.7
120,117,Verona,Italy Serie A,1.59,1.03,58.63
121,110,Internacional,Brasileiro Série A,1.39,0.86,58.53
122,135,São Paulo,Brasileiro Série A,1.41,0.88,58.52
123,108,Schalke 04,German Bundesliga,1.67,1.12,58.46
124,127,West Bromwich Albion,Barclays Premier League,1.65,1.09,58.44
125,125,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
126,126,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
127,130,Strasbourg,French Ligue 1,1.52,0.99,58.22
128,139,LASK Linz,Austrian T-Mobile Bundesliga,1.7,1.16,58.06
129,121,Angers,French Ligue 1,1.46,0.94,58.05
130,129,FC Midtjylland,Danish SAS-Ligaen,1.64,1.11,57.95
131,132,Bodo/Glimt,Norwegian Tippeligaen,2.19,1.62,57.88
132,128,Feyenoord,Dutch Eredivisie,1.88,1.33,57.87
133,124,Torino,Italy Serie A,1.64,1.13,57.44
134,138,Nice,French Ligue 1,1.54,1.05,57.2
135,133,Sporting de Charleroi,Belgian Jupiler League,1.55,1.07,57.05
136,143,Brest,French Ligue 1,1.65,1.17,56.71
137,145,Tigres UANL,Mexican Primera Division Torneo Apertura,1.53,1.06,56.62
138,141,Red Star Belgrade,UEFA Champions League,1.92,1.43,56.48
139,131,St Etienne,French Ligue 1,1.47,1.02,56.4
140,144,Apoel Nicosia,UEFA Europa League,1.55,1.11,56.09
141,147,Cruz Azul,Mexican Primera Division Torneo Apertura,1.6,1.16,55.94
142,137,Anderlecht,Belgian Jupiler League,1.63,1.19,55.85
143,150,Metz,French Ligue 1,1.39,0.97,55.85
144,140,Cagliari,Italy Serie A,1.53,1.1,55.76
145,123,Besiktas,Turkish Turkcell Super Lig,1.76,1.31,55.73
146,146,Santos,Brasileiro Série A,1.4,0.98,55.61
147,156,Benevento,Italy Serie A,1.53,1.11,55.55
148,142,Parma,Italy Serie A,1.64,1.22,55.17
149,155,Rapid Vienna,Austrian T-Mobile Bundesliga,1.72,1.31,55.16
150,148,Nimes,French Ligue 1,1.53,1.13,55.08
151,154,León,Mexican Primera Division Torneo Apertura,1.52,1.12,54.94
152,159,Guimaraes,Portuguese Liga,1.4,1.01,54.9
153,136,Genoa,Italy Serie A,1.63,1.23,54.87
154,149,Reims,French Ligue 1,1.34,0.98,54.24
155,158,Ferencvaros,UEFA Europa League,1.59,1.22,54.14
156,153,FC Copenhagen,Danish SAS-Ligaen,1.63,1.27,54.08
157,161,Fenerbahce,Turkish Turkcell Super Lig,1.55,1.2,53.73
158,176,Malmo FF,Swedish Allsvenskan,1.57,1.22,53.72
159,157,Monterrey,Mexican Primera Division Torneo Apertura,1.58,1.24,53.57
160,169,Stoke City,English League Championship,1.43,1.11,53.34
161,163,Velez Sarsfield,Argentina Primera Division,1.22,0.9,53.34
162,151,KAA Gent,Belgian Jupiler League,1.59,1.28,52.92
163,160,Rio Ave,Portuguese Liga,1.38,1.07,52.79
164,152,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.52,1.22,52.75
165,164,Atlético Paranaense,Brasileiro Série A,1.21,0.91,52.75
166,166,FK Partizan Belgrade,UEFA Europa League,1.51,1.21,52.7
167,186,Swansea City,English League Championship,1.41,1.12,52.51
168,168,FK Qarabag,UEFA Europa League,1.44,1.16,52.29
169,172,Los Angeles FC,Major League Soccer,1.81,1.53,51.99
170,170,Lorient,French Ligue 1,1.47,1.2,51.97
171,192,Blackburn,English League Championship,1.5,1.23,51.96
172,174,Defensa y Justicia,Argentina Primera Division,1.28,1.02,51.81
173,185,Fluminense,Brasileiro Série A,1.29,1.04,51.57
174,165,Spezia,Italy Serie A,1.46,1.21,51.55
175,198,Vitesse,Dutch Eredivisie,1.62,1.37,51.49
176,173,Crotone,Italy Serie A,1.43,1.19,51.42
177,167,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.57,1.32,51.39
178,175,Alanyaspor,Turkish Turkcell Super Lig,1.47,1.22,51.38
179,162,Molde,Norwegian Tippeligaen,1.84,1.6,51.28
180,177,Jiangsu Suning FC,Chinese Super League,1.5,1.26,51.28
181,178,Sochi,Russian Premier Liga,1.36,1.12,51.19
182,171,Standard Liege,Belgian Jupiler League,1.42,1.19,51.03
183,191,Rostov,Russian Premier Liga,1.32,1.1,50.95
184,180,CFR 1907 Cluj,UEFA Europa League,1.49,1.27,50.79
185,182,Santos Laguna,Mexican Primera Division Torneo Apertura,1.47,1.25,50.74
186,188,Pachuca,Mexican Primera Division Torneo Apertura,1.3,1.09,50.68
187,183,FC Astana,UEFA Europa League,1.54,1.33,50.65
188,189,FC Utrecht,Dutch Eredivisie,1.65,1.45,50.57
189,195,Bristol City,English League Championship,1.42,1.22,50.43
190,201,Rubin Kazan,Russian Premier Liga,1.21,1.01,50.31
191,184,Cardiff City,English League Championship,1.38,1.2,49.96
192,179,Dinamo Moscow,Russian Premier Liga,1.1,0.9,49.94
193,190,Brondby,Danish SAS-Ligaen,1.49,1.31,49.85
194,194,Shandong Luneng,Chinese Super League,1.6,1.43,49.81
195,196,Corinthians,Brasileiro Série A,1.33,1.16,49.67
196,181,Genk,Belgian Jupiler League,1.65,1.49,49.66
197,193,Club América,Mexican Primera Division Torneo Apertura,1.45,1.29,49.61
198,197,CA Independiente,Argentina Primera Division,1.2,1.04,49.46
199,187,Fortuna Düsseldorf,German 2. Bundesliga,1.53,1.37,49.41
200,204,St Gallen,Swiss Raiffeisen Super League,1.64,1.51,49.07
201,207,Hamburg SV,German 2. Bundesliga,1.58,1.44,49.06
202,215,AGF Aarhus,Danish SAS-Ligaen,1.57,1.45,48.69
203,203,Dijon FCO,French Ligue 1,1.35,1.23,48.62
204,202,Newell's Old Boys,Argentina Primera Division,1.24,1.11,48.58
205,211,Seattle Sounders FC,Major League Soccer,1.5,1.38,48.53
206,214,Toronto FC,Major League Soccer,1.54,1.43,48.48
207,222,Antwerp,Belgian Jupiler League,1.42,1.31,48.48
208,205,Racing Club,Argentina Primera Division,1.18,1.06,48.4
209,199,Preston North End,English League Championship,1.27,1.16,48.14
210,200,Vasco da Gama,Brasileiro Série A,1.26,1.15,48.06
211,212,Fortaleza,Brasileiro Série A,1.15,1.04,48.05
212,219,Bragantino,Brasileiro Série A,1.36,1.26,48.03
213,225,Yokohama F. Marinos,Japanese J League,1.67,1.59,47.89
214,217,Bahía,Brasileiro Série A,1.29,1.2,47.75
215,210,Guadalajara,Mexican Primera Division Torneo Apertura,1.28,1.2,47.6
216,216,Panathinaikos,Greek Super League,1.08,0.98,47.54
217,213,Millwall,English League Championship,1.27,1.19,47.45
218,208,Middlesbrough,English League Championship,1.3,1.23,47.35
219,206,FC Arsenal Tula,Russian Premier Liga,1.4,1.33,47.22
220,209,Philadelphia Union,Major League Soccer,1.43,1.37,47.16
221,220,Santa Clara,Portuguese Liga,1.29,1.23,47.12
222,223,New York City FC,Major League Soccer,1.36,1.31,46.88
223,227,Toulouse,French Ligue 2,1.44,1.4,46.83
224,218,Rosenborg,Norwegian Tippeligaen,1.55,1.52,46.72
225,228,Reading,English League Championship,1.28,1.24,46.54
226,232,Huddersfield Town,English League Championship,1.26,1.23,46.4
227,226,Morelia,Mexican Primera Division Torneo Clausura,1.43,1.42,46.04
228,221,Sheffield Wednesday,English League Championship,1.27,1.25,45.98
229,229,PFC Oleksandriya,UEFA Europa League,1.33,1.33,45.69
230,230,Lanus,Argentina Primera Division,1.28,1.27,45.68
231,224,Ceará,Brasileiro Série A,1.2,1.19,45.6
232,239,Queens Park Rangers,English League Championship,1.41,1.43,45.58
233,242,Portimonense,Portuguese Liga,1.19,1.21,45.11
234,257,FC Nordsjaelland,Danish SAS-Ligaen,1.47,1.51,45.09
235,237,Barnsley,English League Championship,1.17,1.19,44.87
236,238,Talleres de Córdoba,Argentina Primera Division,1.21,1.23,44.82
237,233,Birmingham,English League Championship,1.27,1.31,44.74
238,241,Slovan Bratislava,UEFA Europa League,1.26,1.3,44.65
239,253,Famalicao,Portuguese Liga,1.28,1.33,44.48
240,248,Pumas Unam,Mexican Primera Division Torneo Apertura,1.27,1.33,44.32
241,247,FC Lugano,Swiss Raiffeisen Super League,1.34,1.41,44.19
242,231,Hannover 96,German 2. Bundesliga,1.34,1.41,44.17
243,251,Willem II,Dutch Eredivisie,1.44,1.52,44.11
244,261,IFK Norrkoping,Swedish Allsvenskan,1.58,1.68,43.96
245,234,Nottingham Forest,English League Championship,1.23,1.3,43.94
246,255,Aris Salonika,Greek Super League,1.32,1.4,43.8
247,249,Gil Vicente,Portuguese Liga,1.21,1.28,43.8
248,245,Sivasspor,Turkish Turkcell Super Lig,1.27,1.35,43.77
249,244,Amiens,French Ligue 2,1.19,1.26,43.75
250,243,Pacos Ferreira,Portuguese Liga,1.24,1.32,43.61
251,252,Columbus Crew,Major League Soccer,1.2,1.28,43.51
252,274,Terek Grozny,Russian Premier Liga,1.15,1.23,43.47
253,263,Tondela,Portuguese Liga,1.2,1.29,43.24
254,240,Ural Sverdlovsk Oblast,Russian Premier Liga,1.17,1.27,43.21
255,260,Sport Recife,Brasileiro Série A,1.16,1.26,43.11
256,235,Derby County,English League Championship,1.29,1.4,43.05
257,259,Atlético Goianiense,Brasileiro Série A,1.17,1.27,43.03
258,262,Argentinos Juniors,Argentina Primera Division,1.0,1.08,42.87
259,254,Moreirense,Portuguese Liga,1.21,1.32,42.83
260,246,Inter Miami CF,Major League Soccer,1.29,1.41,42.79
261,264,Rosario Central,Argentina Primera Division,1.15,1.27,42.73
262,271,Botafogo,Brasileiro Série A,1.15,1.27,42.67
263,265,Tijuana,Mexican Primera Division Torneo Apertura,1.2,1.32,42.63
264,267,Estudiantes,Argentina Primera Division,1.0,1.1,42.6
265,303,Chicago Fire,Major League Soccer,1.46,1.62,42.58
266,272,C.D. Nacional,Portuguese Liga,1.27,1.4,42.55
267,269,Monza,Italy Serie B,1.33,1.48,42.42
268,280,Heracles,Dutch Eredivisie,1.35,1.51,42.28
269,268,Arizona United,United Soccer League,1.59,1.79,42.25
270,236,Kashima Antlers,Japanese J League,1.27,1.42,42.24
271,258,FC Tambov,Russian Premier Liga,1.14,1.28,42.24
272,250,Cerezo Osaka,Japanese J League,1.1,1.23,42.19
273,276,Heerenveen,Dutch Eredivisie,1.45,1.64,42.1
274,256,Los Angeles Galaxy,Major League Soccer,1.49,1.68,41.89
275,279,Arsenal Sarandi,Argentina Primera Division,1.28,1.45,41.78
276,330,Konyaspor,Turkish Turkcell Super Lig,1.24,1.41,41.62
277,295,Servette,Swiss Raiffeisen Super League,1.36,1.56,41.48
278,283,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
279,278,Maritimo,Portuguese Liga,1.13,1.29,41.44
280,270,Djurgardens IF,Swedish Allsvenskan,1.22,1.4,41.41
281,304,Colorado Rapids,Major League Soccer,1.43,1.64,41.4
282,281,FC Groningen,Dutch Eredivisie,1.11,1.27,41.39
283,273,Kasimpasa,Turkish Turkcell Super Lig,1.29,1.49,41.38
284,292,Orlando City SC,Major League Soccer,1.34,1.54,41.3
285,285,Atlético Tucumán,Argentina Primera Division,1.07,1.24,41.23
286,284,Sporting Kansas City,Major League Soccer,1.38,1.6,41.18
287,290,San Lorenzo,Argentina Primera Division,1.14,1.33,40.96
288,337,New England Revolution,Major League Soccer,1.26,1.47,40.85
289,296,Querétaro,Mexican Primera Division Torneo Apertura,1.22,1.43,40.82
290,294,Mallorca,Spanish Segunda Division,1.09,1.28,40.82
291,277,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.27,1.49,40.81
292,288,SC Farense,Portuguese Liga,1.19,1.4,40.81
293,305,Hammarby,Swedish Allsvenskan,1.5,1.76,40.77
294,310,Leganes,Spanish Segunda Division,1.18,1.39,40.74
295,289,Goztepe,Turkish Turkcell Super Lig,1.32,1.55,40.74
296,266,AaB,Danish SAS-Ligaen,1.16,1.37,40.66
297,309,Hull City,English League One,1.25,1.48,40.64
298,301,Antalyaspor,Turkish Turkcell Super Lig,1.17,1.38,40.52
299,314,Goiás,Brasileiro Série A,1.23,1.46,40.47
300,308,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.29,1.53,40.36
301,298,Patronato,Argentina Primera Division,1.2,1.43,40.35
302,307,Luton Town,English League Championship,1.13,1.35,40.32
303,300,Gimnasia La Plata,Argentina Primera Division,0.98,1.17,40.3
304,306,Coventry City,English League Championship,1.17,1.41,40.15
305,317,Rotherham United,English League Championship,1.13,1.37,40.0
306,299,FC Luzern,Swiss Raiffeisen Super League,1.29,1.56,39.89
307,334,PEC Zwolle,Dutch Eredivisie,1.35,1.63,39.83
308,286,Boavista,Portuguese Liga,1.08,1.31,39.76
309,293,Coritiba,Brasileiro Série A,1.06,1.29,39.7
310,312,Banfield,Argentina Primera Division,0.98,1.2,39.66
311,302,Belenenses,Portuguese Liga,1.04,1.28,39.61
312,335,Almeria,Spanish Segunda Division,1.11,1.36,39.54
313,282,FC Ufa,Russian Premier Liga,0.93,1.15,39.48
314,364,New York Red Bulls,Major League Soccer,1.31,1.6,39.43
315,275,Rayo Vallecano,Spanish Segunda Division,1.21,1.49,39.38
316,320,Minnesota United FC,Major League Soccer,1.32,1.63,39.25
317,315,SC Paderborn,German 2. Bundesliga,1.27,1.57,39.23
318,297,Brescia,Italy Serie B,1.24,1.53,39.21
319,287,BK Hacken,Swedish Allsvenskan,1.15,1.43,39.19
320,319,Union Santa Fe,Argentina Primera Division,1.0,1.25,39.16
321,291,Girona FC,Spanish Segunda Division,1.05,1.31,39.15
322,321,Asteras Tripolis,Greek Super League,1.04,1.3,39.02
323,318,FC Juárez,Mexican Primera Division Torneo Apertura,1.09,1.36,38.91
324,324,Necaxa,Mexican Primera Division Torneo Apertura,1.1,1.38,38.81
325,361,Vissel Kobe,Japanese J League,1.47,1.82,38.79
326,325,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
327,322,Portland Timbers,Major League Soccer,1.4,1.75,38.67
328,313,FC Dallas,Major League Soccer,1.23,1.55,38.59
329,328,Henan Jianye,Chinese Super League,1.25,1.57,38.55
330,349,KV Mechelen,Belgian Jupiler League,1.24,1.56,38.51
331,331,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.17,1.49,38.39
332,316,FC Tokyo,Japanese J League,1.18,1.5,38.35
333,327,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.15,1.47,38.3
334,323,Spal,Italy Serie B,1.19,1.52,38.26
335,311,KV Kortrijk,Belgian Jupiler League,1.19,1.52,38.16
336,332,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
337,326,Odense BK,Danish SAS-Ligaen,1.23,1.57,38.13
338,333,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
339,343,FC Twente,Dutch Eredivisie,1.25,1.6,38.07
340,336,Huracán,Argentina Primera Division,0.95,1.24,37.93
341,348,Troyes,French Ligue 2,1.03,1.34,37.9
342,347,Sanfrecce Hiroshima,Japanese J League,1.07,1.39,37.89
343,366,Sporting Gijón,Spanish Segunda Division,0.9,1.18,37.76
344,341,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
345,338,Atlanta United FC,Major League Soccer,1.15,1.51,37.45
346,340,Toluca,Mexican Primera Division Torneo Apertura,1.22,1.6,37.28
347,352,Atromitos,Greek Super League,1.0,1.33,37.25
348,356,Atlas,Mexican Primera Division Torneo Apertura,1.01,1.35,37.23
349,345,Hartberg,Austrian T-Mobile Bundesliga,1.32,1.73,37.2
350,353,Central Córdoba Santiago del Estero,Argentina Primera Division,1.0,1.34,37.16
351,344,St. Pölten,Austrian T-Mobile Bundesliga,1.19,1.58,37.12
352,355,FC Sion,Swiss Raiffeisen Super League,1.03,1.38,36.99
